topic_id,method,date,forecast,lower,upper,mae,rmse,mape,smape,r2,forecast_pct
18,Ensemble,2026-11-01,-0.001267846337148898,-0.006619431331511112,0.004083738715420976,0.00993,0.01061,,,,-0.1267846337148898
18,Ensemble,2026-12-01,-0.0007656907690907203,-0.006145906266027124,0.004614524465911209,0.00993,0.01061,,,,-0.07656907690907204
18,Ensemble,2027-01-01,-0.0002555868512899908,-0.0056409611762073585,0.005129787328108225,0.00993,0.01061,,,,-0.02555868512899908
19,Ensemble,2026-08-01,0.003289702694720945,0.00023120638994883838,0.00634819888307773,0.00181,0.00187,,,,0.3289702694720945
19,Ensemble,2026-09-01,0.0028184367490675893,-0.0012603465888172388,0.0068972200869524165,0.00181,0.00187,,,,0.28184367490675893
19,Ensemble,2026-10-01,0.002718217468947288,-0.002389236280332227,0.007825671392849785,0.00181,0.00187,,,,0.27182174689472877
19,Ensemble,2026-11-01,0.002656349094771666,-0.002813269186864958,0.00812596737640829,0.00181,0.00187,,,,0.2656349094771666
19,Ensemble,2026-12-01,0.0026250186417197474,-0.002993075707399986,0.00824311287442416,0.00181,0.00187,,,,0.26250186417197474
19,Ensemble,2027-01-01,0.0026050041600164035,-0.00307662522244803,0.008286633426065514,0.00181,0.00187,,,,0.26050041600164037
20,Ensemble,2026-08-01,0.0023267794511629843,5.367002395527984e-05,0.004599888943854307,0.00823,0.00853,,,,0.23267794511629844
20,Ensemble,2026-09-01,0.00041114659269636024,-0.0025448906939166977,0.0033671838720334604,0.00823,0.00853,,,,0.04111465926963603
20,Ensemble,2026-10-01,-0.0012434769341642911,-0.00465859732307047,0.002171643469293803,0.00823,0.00853,,,,-0.12434769341642911
20,Ensemble,2026-11-01,-0.0022302606351882444,-0.005846216723850466,0.001385695438922062,0.00823,0.00853,,,,-0.22302606351882445
20,Ensemble,2026-12-01,-0.0023997216261162457,-0.006047506012068265,0.0012480627998535405,0.00823,0.00853,,,,-0.23997216261162457
20,Ensemble,2027-01-01,-0.0018601271640983784,-0.005514179157769072,0.001793924736803856,0.00823,0.00853,,,,-0.18601271640983782
21,Ensemble,2026-08-01,0.005584037749207937,0.0025582039821424587,0.008609871428961923,0.00314,0.00364,,,,0.5584037749207937
21,Ensemble,2026-09-01,0.005009601866465298,0.000853148980258562,0.009166054752672034,0.00314,0.00364,,,,0.5009601866465297
21,Ensemble,2026-10-01,0.004665007562157246,-0.0005450557358354206,0.00987507083104608,0.00314,0.00364,,,,0.46650075621572457
21,Ensemble,2026-11-01,0.004455942376165371,-0.0017121716775579,0.010624056488096303,0.00314,0.00364,,,,0.44559423761653705
21,Ensemble,2026-12-01,0.0043250394158463245,-0.002710038634208802,0.0113601173203823,0.00314,0.00364,,,,0.43250394158463246
21,Ensemble,2027-01-01,0.004244204965158256,-0.0035781376328840276,0.012066547519544793,0.00314,0.00364,,,,0.4244204965158256
22,Ensemble,2026-08-01,0.002378277309897593,-0.0004916587169687765,0.005248213489559072,0.00964,0.00991,,,,0.23782773098975932
22,Ensemble,2026-09-01,0.0009779113081623758,-0.0024694855352371003,0.004425308078802275,0.00964,0.00991,,,,0.09779113081623758
22,Ensemble,2026-10-01,0.00060178972035451,-0.0032725868421867718,0.004476166217412173,0.00964,0.00991,,,,0.060178972035451
22,Ensemble,2026-11-01,0.0003673082151981008,-0.003647673556399042,0.004382289834000134,0.00964,0.00991,,,,0.03673082151981008
22,Ensemble,2026-12-01,0.00022265961172623124,-0.0038447576417256655,0.004290076883368022,0.00964,0.00991,,,,0.022265961172623125
22,Ensemble,2027-01-01,0.00013256465339937513,-0.003955093076693011,0.004220222496269104,0.00964,0.00991,,,,0.013256465339937514
